val_acc,val_loss,epoch,step,train_acc,train_loss
0.46198830008506775,0.6795030236244202,0,0,,
0.6315789222717285,0.6697965264320374,0,12,,
,,0,12,0.498740553855896,0.675788938999176
0.8304093480110168,0.6615096926689148,1,25,,
,,1,25,0.7229219079017639,0.6648756265640259
0.8245614171028137,0.6546374559402466,2,38,,
,,2,38,0.8614609837532043,0.6558248400688171
0.7602339386940002,0.6484185457229614,3,51,,
,,3,51,0.8060453534126282,0.6481621265411377
0.7251461744308472,0.6427392959594727,4,64,,
,,4,64,0.7783375382423401,0.6408067345619202
0.719298243522644,0.6373174786567688,5,77,,
,,5,77,0.763224184513092,0.6343399286270142
0.719298243522644,0.6319849491119385,6,90,,
,,6,90,0.75314861536026,0.6281450986862183
0.719298243522644,0.6268790364265442,7,103,,
,,7,103,0.755667507648468,0.6222758293151855
0.719298243522644,0.6216903328895569,8,116,,
,,8,116,0.745591938495636,0.6163232326507568
0.7251461744308472,0.6166404485702515,9,129,,
,,9,129,0.755667507648468,0.6107386350631714
0.719298243522644,0.6119984984397888,10,142,,
,,10,142,0.750629723072052,0.6054632663726807
0.7309941649436951,0.6071838736534119,11,155,,
,,11,155,0.760705292224884,0.5997636318206787
0.7309941649436951,0.6025916934013367,12,168,,
,,12,168,0.7707808613777161,0.5948607921600342
0.7368420958518982,0.5979638695716858,13,181,,
,,13,181,0.7758186459541321,0.589686393737793
0.7836257219314575,0.5931800603866577,14,194,,
,,14,194,0.8010075688362122,0.5849347114562988
0.7777777910232544,0.5888888239860535,15,207,,
,,15,207,0.8060453534126282,0.5798115730285645
0.7836257219314575,0.584510087966919,16,220,,
,,16,220,0.8060453534126282,0.5749892592430115
0.7719298005104065,0.5805038809776306,17,233,,
,,17,233,0.8010075688362122,0.570240318775177
0.7777777910232544,0.5762467384338379,18,246,,
,,18,246,0.8010075688362122,0.5657134056091309
0.7953216433525085,0.5717593431472778,19,259,,
,,19,259,0.8161209225654602,0.5611088871955872
0.8070175647735596,0.5676332712173462,20,272,,
,,20,272,0.8312342762947083,0.5565998554229736
0.8187134265899658,0.5636959671974182,21,285,,
,,21,285,0.8337531685829163,0.5521823167800903
0.8245614171028137,0.559930682182312,22,298,,
,,22,298,0.8337531685829163,0.5478495359420776
0.8245614171028137,0.55611252784729,23,311,,
,,23,311,0.8337531685829163,0.5438662767410278
0.8245614171028137,0.5521063208580017,24,324,,
,,24,324,0.8413098454475403,0.5395265817642212
0.8421052694320679,0.5482551455497742,25,337,,
,,25,337,0.8463476300239563,0.5353803038597107
0.847953200340271,0.5445122122764587,26,350,,
,,26,350,0.8564231991767883,0.5313822031021118
0.847953200340271,0.5409401059150696,27,363,,
,,27,363,0.8564231991767883,0.5274423956871033
0.8538011908531189,0.5372610092163086,28,376,,
,,28,376,0.8564231991767883,0.5234576463699341
0.859649121761322,0.5335942506790161,29,389,,
,,29,389,0.8639798760414124,0.5198220014572144
0.859649121761322,0.5303071737289429,30,402,,
,,30,402,0.8639798760414124,0.5158477425575256
0.859649121761322,0.5270232558250427,31,415,,
,,31,415,0.8614609837532043,0.5122090578079224
0.859649121761322,0.5234906673431396,32,428,,
,,32,428,0.8614609837532043,0.5084906220436096
0.8654970526695251,0.5200870633125305,33,441,,
,,33,441,0.8639798760414124,0.5048370957374573
0.8654970526695251,0.5165408849716187,34,454,,
,,34,454,0.8740554451942444,0.5013177394866943
0.8654970526695251,0.5133337378501892,35,467,,
,,35,467,0.8765742778778076,0.49777644872665405
0.871345043182373,0.5100522637367249,36,480,,
,,36,480,0.8765742778778076,0.49428579211235046
0.871345043182373,0.5069242715835571,37,493,,
,,37,493,0.8790931701660156,0.4909532964229584
0.871345043182373,0.5040960311889648,38,506,,
,,38,506,0.8790931701660156,0.4874984920024872
0.8654970526695251,0.5013755559921265,39,519,,
,,39,519,0.8690176606178284,0.48465704917907715
0.871345043182373,0.4978775680065155,40,532,,
,,40,532,0.8765742778778076,0.48122015595436096
0.871345043182373,0.4949526786804199,41,545,,
,,41,545,0.8790931701660156,0.4777752757072449
0.871345043182373,0.4921066462993622,42,558,,
,,42,558,0.8790931701660156,0.47466209530830383
0.871345043182373,0.48930519819259644,43,571,,
,,43,571,0.8790931701660156,0.47168391942977905
0.871345043182373,0.4864431917667389,44,584,,
,,44,584,0.8790931701660156,0.4684869050979614
0.871345043182373,0.48347920179367065,45,597,,
,,45,597,0.8816120624542236,0.4655710458755493
0.871345043182373,0.4808503985404968,46,610,,
,,46,610,0.8816120624542236,0.46263521909713745
0.871345043182373,0.47807732224464417,47,623,,
,,47,623,0.8816120624542236,0.4597637951374054
0.871345043182373,0.47559359669685364,48,636,,
,,48,636,0.8841309547424316,0.4568083882331848
0.871345043182373,0.47306472063064575,49,649,,
,,49,649,0.8816120624542236,0.4540158808231354
0.871345043182373,0.4703649878501892,50,662,,
,,50,662,0.8841309547424316,0.45129886269569397
0.871345043182373,0.46798139810562134,51,675,,
,,51,675,0.8891687393188477,0.4484831392765045
0.871345043182373,0.4652160406112671,52,688,,
,,52,688,0.8942065238952637,0.446022629737854
0.871345043182373,0.46280941367149353,53,701,,
,,53,701,0.8942065238952637,0.4431231617927551
0.8771929740905762,0.4602002203464508,54,714,,
,,54,714,0.8992443084716797,0.44062119722366333
0.8771929740905762,0.4579465985298157,55,727,,
,,55,727,0.8992443084716797,0.4378890097141266
0.8771929740905762,0.45565879344940186,56,740,,
,,56,740,0.8992443084716797,0.4354168474674225
0.8771929740905762,0.4531727433204651,57,753,,
,,57,753,0.8992443084716797,0.433290034532547
0.8771929740905762,0.4510502517223358,58,766,,
,,58,766,0.8992443084716797,0.4305649399757385
0.8771929740905762,0.4489140212535858,59,779,,
,,59,779,0.8992443084716797,0.4281166195869446
0.8771929740905762,0.44665488600730896,60,792,,
,,60,792,0.8992443084716797,0.425663560628891
0.8771929740905762,0.44455045461654663,61,805,,
