val_acc,val_loss,epoch,step,train_acc,train_loss,test_acc,test_loss
0.48572421073913574,0.8614423871040344,0,39,,,,
,,0,39,0.4657818675041199,0.8973509073257446,,
0.4849301874637604,0.8488104343414307,1,79,,,,
,,1,79,0.4737326502799988,0.8533463478088379,,
0.46575069427490234,0.8286107778549194,2,119,,,,
,,2,119,0.479714572429657,0.8454911708831787,,
0.4655720591545105,0.833719789981842,3,159,,,,
,,3,159,0.474607914686203,0.8384270668029785,,
0.471790611743927,0.8505151271820068,4,199,,,,
,,4,199,0.47468090057373047,0.8165774345397949,,
0.4577041566371918,0.7921943664550781,5,239,,,,
,,5,239,0.4821580648422241,0.8186342716217041,,
0.4808444082736969,0.793243408203125,6,279,,,,
,,6,279,0.480763703584671,0.7964674234390259,,
0.4859316349029541,0.7754224538803101,7,319,,,,
,,7,319,0.48389580845832825,0.7758320569992065,,
0.48143470287323,0.7799797654151917,8,359,,,,
,,8,359,0.5037438273429871,0.758864164352417,,
0.4875759482383728,0.7442755699157715,9,399,,,,
,,9,399,0.5007379055023193,0.7467008829116821,,
0.5043945908546448,0.7287745475769043,10,439,,,,
,,10,439,0.5091062188148499,0.7412875890731812,,
0.5040174722671509,0.7351751923561096,11,479,,,,
,,11,479,0.5020656585693359,0.7343708276748657,,
0.5092607140541077,0.7064852714538574,12,519,,,,
,,12,519,0.5062357187271118,0.7309737205505371,,
0.5180850028991699,0.6977872252464294,13,559,,,,
,,13,559,0.5206243395805359,0.7053866386413574,,
0.48988503217697144,0.7594056725502014,14,599,,,,
,,14,599,0.508621096611023,0.731666088104248,,
0.5062946677207947,0.7045288681983948,15,639,,,,
,,15,639,0.5105341672897339,0.7181242108345032,,
0.5151984691619873,0.6916325092315674,16,679,,,,
,,16,679,0.5117866396903992,0.7025457620620728,,
0.5267294049263,0.6868767738342285,17,719,,,,
,,17,719,0.525442361831665,0.6959365606307983,,
0.4904624819755554,0.836564838886261,18,759,,,,
,,18,759,0.5245068669319153,0.7034963965415955,,
0.511859118938446,0.6982261538505554,19,799,,,,
,,19,799,0.5142428278923035,0.7187495231628418,,
0.5299028158187866,0.6919171810150146,20,839,,,,
,,20,839,0.5291674137115479,0.6900166273117065,,
0.5115126967430115,0.7054734230041504,21,879,,,,
,,21,879,0.5092376470565796,0.7383577823638916,,
0.5181097388267517,0.683009922504425,22,919,,,,
,,22,919,0.5351061224937439,0.6853901743888855,,
0.5239276885986328,0.6911419630050659,23,959,,,,
,,23,959,0.5256913900375366,0.6912251114845276,,
0.4949236810207367,0.7622299790382385,24,999,,,,
,,24,999,0.5214921236038208,0.7134061455726624,,
0.5327023863792419,0.6838477849960327,25,1039,,,,
,,25,1039,0.5243381261825562,0.7095022797584534,,
0.536049485206604,0.6732509136199951,26,1079,,,,
,,26,1079,0.5280985832214355,0.6787095069885254,,
0.5313211679458618,0.6688278913497925,27,1119,,,,
,,27,1119,0.5327114462852478,0.6714860796928406,,
0.49508610367774963,0.7349789142608643,28,1159,,,,
,,28,1159,0.5347925424575806,0.6774923801422119,,
0.5061343908309937,0.7107011675834656,29,1199,,,,
,,29,1199,0.5191828608512878,0.7139089107513428,,
0.5164110660552979,0.6737318634986877,30,1239,,,,
,,30,1239,0.5196702480316162,0.6949226260185242,,
0.529926061630249,0.6675812005996704,31,1279,,,,
,,31,1279,0.5426652431488037,0.6717636585235596,,
0.517209529876709,0.707319438457489,32,1319,,,,
,,32,1319,0.5404207110404968,0.6702900528907776,,
0.521774411201477,0.6864334940910339,33,1359,,,,
,,33,1359,0.5162680149078369,0.7271317839622498,,
0.5446523427963257,0.670299232006073,34,1399,,,,
,,34,1399,0.5296636819839478,0.6772621870040894,,
0.515440046787262,0.6710233092308044,35,1439,,,,
,,35,1439,0.5346302390098572,0.6704176068305969,,
0.5377556085586548,0.6691053509712219,36,1479,,,,
,,36,1479,0.5340984463691711,0.6823052167892456,,
0.5254576206207275,0.6759080290794373,37,1519,,,,
,,37,1519,0.538085401058197,0.6718464493751526,,
0.5256960988044739,0.6815903186798096,38,1559,,,,
,,38,1559,0.5357823967933655,0.6782261729240417,,
0.5236968398094177,0.6702151298522949,39,1599,,,,
,,39,1599,0.5336269736289978,0.6741431951522827,,
0.5226243734359741,0.7268390655517578,40,1639,,,,
,,40,1639,0.5355551242828369,0.688127338886261,,
0.5364851355552673,0.6669409871101379,41,1679,,,,
,,41,1679,0.5331503748893738,0.6867155432701111,,
0.5149226188659668,0.6732607483863831,42,1719,,,,
,,42,1719,0.5294431447982788,0.6747961640357971,,
0.522718608379364,0.6668075323104858,43,1759,,,,
,,43,1759,0.5338181257247925,0.667549729347229,,
0.5247347354888916,0.6698613166809082,44,1799,,,,
,,44,1799,0.5387397408485413,0.6663148403167725,,
0.5348014235496521,0.663689136505127,45,1839,,,,
,,45,1839,0.5409963726997375,0.6652353405952454,,
0.5289732217788696,0.6718058586120605,46,1879,,,,
,,46,1879,0.538552463054657,0.664909303188324,,
0.5346407294273376,0.6643272638320923,47,1919,,,,
,,47,1919,0.5332074165344238,0.6769092082977295,,
0.5137103199958801,0.7319385409355164,48,1959,,,,
,,48,1959,0.5229465961456299,0.7090933918952942,,
0.5235495567321777,0.6657423377037048,49,1999,,,,
