val_acc,val_loss,epoch,step,train_acc,train_loss
0.4736842215061188,0.687763512134552,0,0,,
0.6432748436927795,0.680014967918396,0,12,,
,,0,12,0.503778338432312,0.6874938607215881
0.8070175647735596,0.6726312041282654,1,25,,
,,1,25,0.750629723072052,0.6754702925682068
0.7543859481811523,0.6661063432693481,2,38,,
,,2,38,0.8010075688362122,0.6656108498573303
0.6491228342056274,0.6606123447418213,3,51,,
,,3,51,0.7229219079017639,0.6572350859642029
0.6374269127845764,0.6554324626922607,4,64,,
,,4,64,0.6801007390022278,0.6497792601585388
0.6374269127845764,0.6500802636146545,5,77,,
,,5,77,0.6775818467140198,0.6429700255393982
0.6549707651138306,0.6444900035858154,6,90,,
,,6,90,0.6851385235786438,0.6364445090293884
0.6432748436927795,0.6397024393081665,7,103,,
,,7,103,0.6826196312904358,0.6302955150604248
0.6549707651138306,0.6344693899154663,8,116,,
,,8,116,0.6851385235786438,0.6241511702537537
0.6842105388641357,0.6288666725158691,9,129,,
,,9,129,0.7002518773078918,0.6184930205345154
0.6842105388641357,0.6238628029823303,10,142,,
,,10,142,0.7103274464607239,0.612706184387207
0.6842105388641357,0.6192488074302673,11,155,,
,,11,155,0.7128463387489319,0.6071779727935791
0.6842105388641357,0.6144526600837708,12,168,,
,,12,168,0.7178841233253479,0.6015267372131348
0.6900584697723389,0.6094411015510559,13,181,,
,,13,181,0.7229219079017639,0.5962493419647217
0.7017543911933899,0.6045958995819092,14,194,,
,,14,194,0.732997477054596,0.5909976363182068
0.7017543911933899,0.6001401543617249,15,207,,
,,15,207,0.74055415391922,0.5859749913215637
0.707602322101593,0.5957438945770264,16,220,,
,,16,220,0.75314861536026,0.5808569192886353
0.707602322101593,0.5914885997772217,17,233,,
,,17,233,0.758186399936676,0.5760114192962646
0.719298243522644,0.5870140194892883,18,246,,
,,18,246,0.763224184513092,0.5712486505508423
0.7660818696022034,0.5820268988609314,19,259,,
,,19,259,0.7732997536659241,0.5665795803070068
0.7836257219314575,0.5773505568504333,20,272,,
,,20,272,0.7884131073951721,0.5618395805358887
0.7953216433525085,0.5732108354568481,21,285,,
,,21,285,0.8060453534126282,0.557224452495575
0.7894737124443054,0.5695856809616089,22,298,,
,,22,298,0.8010075688362122,0.5530328154563904
0.8070175647735596,0.5652452111244202,23,311,,
,,23,311,0.8085642457008362,0.5483953952789307
0.8187134265899658,0.5609408020973206,24,324,,
,,24,324,0.8110831379890442,0.5440548062324524
0.8128654956817627,0.5575991868972778,25,337,,
,,25,337,0.8136020302772522,0.5399560332298279
0.8245614171028137,0.5533227324485779,26,350,,
,,26,350,0.8136020302772522,0.5358744263648987
0.8245614171028137,0.5497942566871643,27,363,,
,,27,363,0.8161209225654602,0.5317049026489258
0.8421052694320679,0.5452764630317688,28,376,,
,,28,376,0.8312342762947083,0.5277954936027527
0.8421052694320679,0.5414313673973083,29,389,,
,,29,389,0.8463476300239563,0.5237414240837097
0.8538011908531189,0.5376062989234924,30,402,,
,,30,402,0.8513854146003723,0.520056962966919
0.8421052694320679,0.5347517728805542,31,415,,
,,31,415,0.8463476300239563,0.5161818265914917
0.8538011908531189,0.531156599521637,32,428,,
,,32,428,0.8463476300239563,0.5123997330665588
0.859649121761322,0.5277515053749084,33,441,,
,,33,441,0.8513854146003723,0.5086340308189392
0.8654970526695251,0.5243951082229614,34,454,,
,,34,454,0.8539043068885803,0.5050908327102661
0.8654970526695251,0.5205687880516052,35,467,,
,,35,467,0.8564231991767883,0.5016030073165894
0.8654970526695251,0.5173814296722412,36,480,,
,,36,480,0.8639798760414124,0.49800795316696167
0.8654970526695251,0.5139556527137756,37,493,,
,,37,493,0.8639798760414124,0.49479594826698303
0.8654970526695251,0.5115091800689697,38,506,,
,,38,506,0.8639798760414124,0.49115291237831116
0.8654970526695251,0.508053183555603,39,519,,
,,39,519,0.8639798760414124,0.4878842234611511
0.8654970526695251,0.5049608945846558,40,532,,
,,40,532,0.8690176606178284,0.4845084547996521
0.8654970526695251,0.5018433332443237,41,545,,
,,41,545,0.8690176606178284,0.48130637407302856
0.8654970526695251,0.49855685234069824,42,558,,
,,42,558,0.8690176606178284,0.4780741333961487
0.871345043182373,0.4953633248806,43,571,,
,,43,571,0.8690176606178284,0.4749295711517334
0.871345043182373,0.4921571612358093,44,584,,
,,44,584,0.8765742778778076,0.47181054949760437
0.871345043182373,0.48936814069747925,45,597,,
,,45,597,0.8740554451942444,0.4687824845314026
0.871345043182373,0.4861892759799957,46,610,,
,,46,610,0.8765742778778076,0.46576905250549316
0.8771929740905762,0.48348870873451233,47,623,,
,,47,623,0.8816120624542236,0.46287351846694946
0.871345043182373,0.4802783131599426,48,636,,
,,48,636,0.8841309547424316,0.4599406123161316
0.871345043182373,0.477586567401886,49,649,,
,,49,649,0.8916876316070557,0.4570135772228241
0.871345043182373,0.47515708208084106,50,662,,
,,50,662,0.8891687393188477,0.4542425870895386
0.871345043182373,0.4725804924964905,51,675,,
,,51,675,0.8866498470306396,0.45142772793769836
0.871345043182373,0.4696839451789856,52,688,,
,,52,688,0.8916876316070557,0.44871124625205994
0.871345043182373,0.46752938628196716,53,701,,
,,53,701,0.8916876316070557,0.4459593594074249
0.871345043182373,0.46486735343933105,54,714,,
,,54,714,0.8942065238952637,0.4432823956012726
0.871345043182373,0.46222227811813354,55,727,,
,,55,727,0.8942065238952637,0.4407181441783905
0.871345043182373,0.4598535895347595,56,740,,
,,56,740,0.8942065238952637,0.43808841705322266
0.871345043182373,0.4578205645084381,57,753,,
,,57,753,0.8942065238952637,0.43548786640167236
0.871345043182373,0.45560982823371887,58,766,,
,,58,766,0.8942065238952637,0.4330713450908661
0.8771929740905762,0.4526974558830261,59,779,,
,,59,779,0.8967254161834717,0.43060001730918884
0.8771929740905762,0.45026037096977234,60,792,,
,,60,792,0.9042820930480957,0.4281771183013916
0.8771929740905762,0.44805479049682617,61,805,,
,,61,805,0.9042820930480957,0.4257891774177551
0.8771929740905762,0.4461163878440857,62,818,,
,,62,818,0.9042820930480957,0.4234101474285126
0.871345043182373,0.4440196454524994,63,831,,
,,63,831,0.9042820930480957,0.42114320397377014
0.8771929740905762,0.4418984651565552,64,844,,
,,64,844,0.9042820930480957,0.41876640915870667
0.8771929740905762,0.43962985277175903,65,857,,
,,65,857,0.9042820930480957,0.41661983728408813
0.871345043182373,0.437887579202652,66,870,,
,,66,870,0.9017632007598877,0.4142238199710846
0.871345043182373,0.4358821213245392,67,883,,
,,67,883,0.8992443084716797,0.41212621331214905
0.8771929740905762,0.43342509865760803,68,896,,
,,68,896,0.9017632007598877,0.40990084409713745
0.8771929740905762,0.43090659379959106,69,909,,
,,69,909,0.9042820930480957,0.40768036246299744
0.8771929740905762,0.4291180670261383,70,922,,
,,70,922,0.9042820930480957,0.40566858649253845
0.8771929740905762,0.4272587299346924,71,935,,
,,71,935,0.9042820930480957,0.40363600850105286
0.871345043182373,0.4245685636997223,72,948,,
,,72,948,0.9093198776245117,0.40170344710350037
0.871345043182373,0.4226835072040558,73,961,,
,,73,961,0.9118387699127197,0.39936190843582153
0.871345043182373,0.42094844579696655,74,974,,
,,74,974,0.9118387699127197,0.39731162786483765
0.871345043182373,0.4188796877861023,75,987,,
,,75,987,0.9118387699127197,0.3954002559185028
0.8771929740905762,0.41755005717277527,76,1000,,
,,76,1000,0.9118387699127197,0.3936890959739685
0.871345043182373,0.41533681750297546,77,1013,,
,,77,1013,0.9118387699127197,0.3914220631122589
0.871345043182373,0.41355305910110474,78,1026,,
,,78,1026,0.9118387699127197,0.3895576298236847
0.8771929740905762,0.4121823310852051,79,1039,,
,,79,1039,0.9118387699127197,0.3875897228717804
0.871345043182373,0.4104311764240265,80,1052,,
,,80,1052,0.9118387699127197,0.38577136397361755
0.8771929740905762,0.4088364839553833,81,1065,,
,,81,1065,0.9118387699127197,0.3839605152606964
0.8771929740905762,0.4072442352771759,82,1078,,
,,82,1078,0.9118387699127197,0.382170170545578
0.871345043182373,0.4053361713886261,83,1091,,
,,83,1091,0.9118387699127197,0.3802620768547058
0.871345043182373,0.4033133089542389,84,1104,,
,,84,1104,0.9118387699127197,0.3784502446651459
0.871345043182373,0.40171778202056885,85,1117,,
,,85,1117,0.9118387699127197,0.37671467661857605
0.8771929740905762,0.39977848529815674,86,1130,,
,,86,1130,0.9118387699127197,0.37498143315315247
0.8771929740905762,0.39807379245758057,87,1143,,
,,87,1143,0.9118387699127197,0.3732280731201172
0.8771929740905762,0.39636993408203125,88,1156,,
,,88,1156,0.9143576622009277,0.3715578317642212
0.8771929740905762,0.394801527261734,89,1169,,
,,89,1169,0.9143576622009277,0.36989662051200867
0.8771929740905762,0.3935779631137848,90,1182,,
,,90,1182,0.9118387699127197,0.3680795729160309
0.871345043182373,0.3923594057559967,91,1195,,
,,91,1195,0.9118387699127197,0.36661213636398315
0.8771929740905762,0.390773206949234,92,1208,,
,,92,1208,0.9118387699127197,0.36486831307411194
0.8771929740905762,0.388967901468277,93,1221,,
,,93,1221,0.9118387699127197,0.3633541762828827
0.8771929740905762,0.38764891028404236,94,1234,,
,,94,1234,0.9118387699127197,0.36166271567344666
0.8771929740905762,0.38620418310165405,95,1247,,
,,95,1247,0.9118387699127197,0.3600981831550598
0.8771929740905762,0.3844742774963379,96,1260,,
,,96,1260,0.9143576622009277,0.35868823528289795
0.8771929740905762,0.3830970525741577,97,1273,,
,,97,1273,0.9143576622009277,0.3571159541606903
0.8771929740905762,0.38206946849823,98,1286,,
,,98,1286,0.9143576622009277,0.3556424081325531
0.8771929740905762,0.38029149174690247,99,1299,,
,,99,1299,0.9143576622009277,0.35396838188171387
0.8771929740905762,0.38029149174690247,100,1300,,
