val_acc,val_loss,epoch,step,train_acc,train_loss
0.15846994519233704,3.3391785621643066,0,3,,
,,0,3,0.09800374507904053,3.7905445098876953
0.2568306028842926,3.0548338890075684,1,7,,
,,1,7,0.18866567313671112,3.1630053520202637
0.3333333432674408,2.7679789066314697,2,11,,
,,2,11,0.31131935119628906,2.8115406036376953
0.3224043846130371,2.578119993209839,3,15,,
,,3,15,0.3402363657951355,2.578507423400879
0.3715847134590149,2.459141492843628,4,19,,
,,4,19,0.375527560710907,2.386289358139038
0.37704917788505554,2.363917112350464,5,23,,
,,5,23,0.4021805226802826,2.2616772651672363
0.38797813653945923,2.2714152336120605,6,27,,
,,6,27,0.40189647674560547,2.1428439617156982
0.40437158942222595,2.192978620529175,7,31,,
,,7,31,0.427147775888443,2.0605196952819824
0.44262295961380005,2.1368653774261475,8,35,,
,,8,35,0.47586673498153687,1.9203765392303467
0.4480873942375183,2.0648505687713623,9,39,,
,,9,39,0.46860742568969727,1.849850058555603
0.46994534134864807,2.01751708984375,10,43,,
,,10,43,0.4784000515937805,1.803497552871704
0.45355191826820374,1.9894731044769287,11,47,,
,,11,47,0.5309594869613647,1.7069356441497803
0.49180325865745544,1.9480854272842407,12,51,,
,,12,51,0.5247050523757935,1.686739206314087
0.48087435960769653,1.9221071004867554,13,55,,
,,13,55,0.5265686511993408,1.6196410655975342
0.4644808769226074,1.9268314838409424,14,59,,
,,14,59,0.5357155203819275,1.584265112876892
0.4863387942314148,1.891908884048462,15,63,,
,,15,63,0.5676565170288086,1.500902533531189
0.46994534134864807,1.875413179397583,16,67,,
,,16,67,0.528495728969574,1.5283275842666626
0.4754098355770111,1.854954481124878,17,71,,
,,17,71,0.5726122856140137,1.432039499282837
0.4863387942314148,1.8318477869033813,18,75,,
,,18,75,0.5779166221618652,1.3946306705474854
0.4754098355770111,1.8422505855560303,19,79,,
,,19,79,0.5806547403335571,1.3971692323684692
0.4863387942314148,1.8355776071548462,20,83,,
,,20,83,0.599977970123291,1.3263254165649414
0.5027322173118591,1.8259532451629639,21,87,,
,,21,87,0.6080881953239441,1.3359229564666748
0.49726778268814087,1.8173444271087646,22,91,,
,,22,91,0.607824444770813,1.3088023662567139
0.49180325865745544,1.8178274631500244,23,95,,
,,23,95,0.6193118095397949,1.2220042943954468
0.5027322173118591,1.803617238998413,24,99,,
,,24,99,0.6154409646987915,1.2562823295593262
0.5081967115402222,1.8052635192871094,25,103,,
,,25,103,0.593238115310669,1.2478278875350952
0.5191256999969482,1.791285753250122,26,107,,
,,26,107,0.6244273781776428,1.2336056232452393
0.5136612057685852,1.7908798456192017,27,111,,
,,27,111,0.6512147784233093,1.158732295036316
0.49726778268814087,1.7993618249893188,28,115,,
,,28,115,0.6492160558700562,1.1216682195663452
0.5300546288490295,1.8129485845565796,29,119,,
,,29,119,0.6423227190971375,1.1276824474334717
0.5081967115402222,1.7971080541610718,30,123,,
,,30,123,0.6334856152534485,1.1589438915252686
0.5300546288490295,1.8106205463409424,31,127,,
,,31,127,0.6195269823074341,1.1570329666137695
0.5136612057685852,1.7909224033355713,32,131,,
,,32,131,0.6531240344047546,1.0868521928787231
0.5355191230773926,1.8064903020858765,33,135,,
,,33,135,0.6417466402053833,1.1107069253921509
0.5519125461578369,1.812753438949585,34,139,,
,,34,139,0.6620347499847412,1.0920077562332153
0.49180325865745544,1.8071277141571045,35,143,,
,,35,143,0.6570167541503906,1.0611674785614014
0.5191256999969482,1.8109267950057983,36,147,,
,,36,147,0.6720752716064453,1.037569284439087
0.5573770403862,1.7903257608413696,37,151,,
,,37,151,0.6582390666007996,1.0247242450714111
0.5245901346206665,1.7998615503311157,38,155,,
,,38,155,0.6895216703414917,0.9878257513046265
0.5191256999969482,1.8134615421295166,39,159,,
,,39,159,0.6840527057647705,0.9782487750053406
0.5409836173057556,1.7890393733978271,40,163,,
,,40,163,0.7075865268707275,0.9568871259689331
0.5355191230773926,1.8040497303009033,41,167,,
,,41,167,0.7024327516555786,0.9800845384597778
0.5136612057685852,1.8512909412384033,42,171,,
,,42,171,0.7169804573059082,0.9266236424446106
0.5464481115341187,1.8517957925796509,43,175,,
,,43,175,0.6853995323181152,0.9933822751045227
0.5245901346206665,1.8651139736175537,44,179,,
,,44,179,0.7035834789276123,0.9304294586181641
0.5191256999969482,1.8115837574005127,45,183,,
,,45,183,0.6953557729721069,0.942950427532196
0.5191256999969482,1.8292878866195679,46,187,,
,,46,187,0.6911962032318115,0.9330272674560547
0.5519125461578369,1.8113971948623657,47,191,,
,,47,191,0.7125430703163147,0.9087775945663452
0.5191256999969482,1.8033382892608643,48,195,,
,,48,195,0.7109082341194153,0.8950555920600891
0.5136612057685852,1.8507397174835205,49,199,,
,,49,199,0.7204492688179016,0.887168288230896
0.5245901346206665,1.8571054935455322,50,203,,
,,50,203,0.7312747240066528,0.8242563009262085
0.5519125461578369,1.8482167720794678,51,207,,
,,51,207,0.7078369855880737,0.8826829791069031
0.5355191230773926,1.8600053787231445,52,211,,
,,52,211,0.7201095819473267,0.8668656349182129
0.5027322173118591,1.8557392358779907,53,215,,
,,53,215,0.7313164472579956,0.8373874425888062
0.5355191230773926,1.862066626548767,54,219,,
,,54,219,0.7369073033332825,0.8082607388496399
0.5300546288490295,1.8709938526153564,55,223,,
,,55,223,0.7472034096717834,0.8044278025627136
0.5355191230773926,1.8745100498199463,56,227,,
,,56,227,0.7180421948432922,0.8445613980293274
0.5081967115402222,1.913442850112915,57,231,,
,,57,231,0.718113124370575,0.8668014407157898
0.5355191230773926,1.9154847860336304,58,235,,
,,58,235,0.7261484265327454,0.8093843460083008
0.5355191230773926,1.9016149044036865,59,239,,
,,59,239,0.7504509687423706,0.7826086282730103
0.5136612057685852,1.9114046096801758,60,243,,
,,60,243,0.7200647592544556,0.8461645245552063
0.5355191230773926,1.9010846614837646,61,247,,
,,61,247,0.7384812235832214,0.7799639701843262
0.5191256999969482,1.921256422996521,62,251,,
,,62,251,0.7473222613334656,0.7598334550857544
0.5027322173118591,1.9210739135742188,63,255,,
,,63,255,0.7254079580307007,0.825179398059845
0.5300546288490295,1.9094297885894775,64,259,,
,,64,259,0.7481175661087036,0.7566483616828918
0.5245901346206665,1.9536988735198975,65,263,,
,,65,263,0.7313003540039062,0.7513147592544556
0.5191256999969482,1.963014841079712,66,267,,
,,66,267,0.7196482419967651,0.8244264721870422
0.5464481115341187,1.950799584388733,67,271,,
,,67,271,0.7486802935600281,0.7447864413261414
0.5300546288490295,1.9645326137542725,68,275,,
,,68,275,0.7331044673919678,0.802751362323761
0.5245901346206665,1.9863214492797852,69,279,,
,,69,279,0.7396680116653442,0.755403995513916
0.5191256999969482,1.9900357723236084,70,283,,
,,70,283,0.7356857061386108,0.773605227470398
0.5136612057685852,1.994330644607544,71,287,,
,,71,287,0.733472466468811,0.771882951259613
0.5300546288490295,1.9885488748550415,72,291,,
,,72,291,0.745602011680603,0.7598969340324402
0.5300546288490295,1.9986509084701538,73,295,,
,,73,295,0.7464171051979065,0.7240843772888184
0.5245901346206665,2.0009496212005615,74,299,,
,,74,299,0.7495067119598389,0.7299924492835999
0.5191256999969482,2.0262904167175293,75,303,,
,,75,303,0.7536038756370544,0.7696273326873779
0.5136612057685852,1.9913021326065063,76,307,,
,,76,307,0.7548170685768127,0.7226089239120483
0.5136612057685852,2.0001752376556396,77,311,,
,,77,311,0.745327353477478,0.7422605752944946
0.5355191230773926,2.0175118446350098,78,315,,
,,78,315,0.7533502578735352,0.7194051146507263
0.5300546288490295,2.000410318374634,79,319,,
,,79,319,0.7619175910949707,0.711009681224823
0.5573770403862,1.998561143875122,80,323,,
,,80,323,0.7675272226333618,0.692385733127594
0.5355191230773926,2.0362062454223633,81,327,,
,,81,327,0.7563184499740601,0.7117141485214233
0.5027322173118591,2.1067614555358887,82,331,,
,,82,331,0.746557354927063,0.7171286940574646
0.5245901346206665,2.078124523162842,83,335,,
,,83,335,0.7520080208778381,0.7109431028366089
0.5081967115402222,2.082214117050171,84,339,,
,,84,339,0.7360951900482178,0.7367206811904907
0.5245901346206665,2.1013643741607666,85,343,,
,,85,343,0.7401367425918579,0.7338982820510864
0.5355191230773926,2.1025993824005127,86,347,,
