val_acc,val_loss,epoch,step,train_acc,train_loss
0.6315789222717285,0.7280371785163879,0,0,,
0.6315789222717285,0.7124682068824768,0,12,,
,,0,12,0.6272040009498596,0.7192423343658447
0.5614035129547119,0.7006828188896179,1,25,,
,,1,25,0.6272040009498596,0.705217182636261
0.4444444477558136,0.6900665760040283,2,38,,
,,2,38,0.48614609241485596,0.695210337638855
0.6608186960220337,0.6814577579498291,3,51,,
,,3,51,0.5239294767379761,0.684964120388031
0.9181286692619324,0.673291027545929,4,64,,
,,4,64,0.8010075688362122,0.6766579747200012
0.7894737124443054,0.6662445664405823,5,77,,
,,5,77,0.8337531685829163,0.6689485311508179
0.7894737124443054,0.6601880788803101,6,90,,
,,6,90,0.8161209225654602,0.6613838076591492
0.7543859481811523,0.6538968682289124,7,103,,
,,7,103,0.7783375382423401,0.6545615196228027
0.7485380172729492,0.6478127241134644,8,116,,
,,8,116,0.750629723072052,0.647717297077179
0.7660818696022034,0.6426637768745422,9,129,,
,,9,129,0.7707808613777161,0.6412134170532227
0.7426900863647461,0.6368022561073303,10,142,,
,,10,142,0.7758186459541321,0.6348133087158203
0.7426900863647461,0.6316301226615906,11,155,,
,,11,155,0.748110830783844,0.6287963390350342
0.7543859481811523,0.6266710758209229,12,168,,
,,12,168,0.755667507648468,0.6228147149085999
0.7660818696022034,0.6219473481178284,13,181,,
,,13,181,0.7833753228187561,0.6170457005500793
0.7602339386940002,0.6170000433921814,14,194,,
,,14,194,0.7808564305305481,0.6115719079971313
0.7602339386940002,0.6122387051582336,15,207,,
,,15,207,0.7808564305305481,0.6058886647224426
0.7836257219314575,0.6078612208366394,16,220,,
,,16,220,0.8085642457008362,0.6006240844726562
0.7777777910232544,0.6031320691108704,17,233,,
,,17,233,0.8261964917182922,0.5949312448501587
0.7836257219314575,0.5986571907997131,18,246,,
,,18,246,0.8236775994300842,0.5897339582443237
0.8011695742607117,0.5943456888198853,19,259,,
,,19,259,0.8337531685829163,0.5845162868499756
0.8362573385238647,0.5905647277832031,20,272,,
,,20,272,0.8564231991767883,0.5800192356109619
0.8128654956817627,0.5858868360519409,21,285,,
,,21,285,0.8488665223121643,0.5750586986541748
0.8362573385238647,0.5820192694664001,22,298,,
,,22,298,0.8513854146003723,0.5696264505386353
0.8362573385238647,0.577741265296936,23,311,,
,,23,311,0.8539043068885803,0.5649554133415222
0.8362573385238647,0.5738075971603394,24,324,,
,,24,324,0.8564231991767883,0.5600728392601013
0.8421052694320679,0.5698750019073486,25,337,,
,,25,337,0.8589420914649963,0.5554654002189636
0.847953200340271,0.5660361647605896,26,350,,
,,26,350,0.8639798760414124,0.5508984923362732
0.847953200340271,0.5623263716697693,27,363,,
,,27,363,0.8715365529060364,0.5465383529663086
0.847953200340271,0.5584594011306763,28,376,,
,,28,376,0.8740554451942444,0.5421195030212402
0.859649121761322,0.5550122857093811,29,389,,
,,29,389,0.8790931701660156,0.5375826954841614
0.8538011908531189,0.5512559413909912,30,402,,
,,30,402,0.8816120624542236,0.5334849953651428
0.859649121761322,0.5477705597877502,31,415,,
,,31,415,0.8841309547424316,0.5291216969490051
0.8771929740905762,0.5443021059036255,32,428,,
,,32,428,0.8916876316070557,0.5249835848808289
0.871345043182373,0.5407819747924805,33,441,,
,,33,441,0.8916876316070557,0.5208591222763062
0.8771929740905762,0.5375291109085083,34,454,,
,,34,454,0.8916876316070557,0.5169682502746582
0.8830409646034241,0.5343905687332153,35,467,,
,,35,467,0.8992443084716797,0.512961208820343
0.8830409646034241,0.5309834480285645,36,480,,
,,36,480,0.8992443084716797,0.5092283487319946
0.8830409646034241,0.5277262330055237,37,493,,
,,37,493,0.8992443084716797,0.5053141117095947
0.8830409646034241,0.5245794653892517,38,506,,
,,38,506,0.8992443084716797,0.5016157627105713
0.8830409646034241,0.521407425403595,39,519,,
,,39,519,0.8992443084716797,0.49793532490730286
0.8830409646034241,0.5183065533638,40,532,,
,,40,532,0.8992443084716797,0.49439510703086853
0.8830409646034241,0.5153715014457703,41,545,,
,,41,545,0.8992443084716797,0.49086928367614746
0.8830409646034241,0.5123330950737,42,558,,
,,42,558,0.8992443084716797,0.48735296726226807
0.8830409646034241,0.5094823837280273,43,571,,
,,43,571,0.8992443084716797,0.48393192887306213
0.8830409646034241,0.5066397786140442,44,584,,
,,44,584,0.8992443084716797,0.48049497604370117
0.8830409646034241,0.503897488117218,45,597,,
,,45,597,0.9017632007598877,0.4772597551345825
0.8830409646034241,0.501245379447937,46,610,,
,,46,610,0.9017632007598877,0.47408097982406616
0.8830409646034241,0.4984985291957855,47,623,,
,,47,623,0.9042820930480957,0.4707346558570862
0.8830409646034241,0.4956822097301483,48,636,,
,,48,636,0.9042820930480957,0.4675317108631134
0.8830409646034241,0.4929177761077881,49,649,,
,,49,649,0.9017632007598877,0.46446970105171204
0.8830409646034241,0.4903140068054199,50,662,,
,,50,662,0.9042820930480957,0.4612790644168854
0.8830409646034241,0.48773086071014404,51,675,,
,,51,675,0.9042820930480957,0.4581734240055084
0.8830409646034241,0.48514294624328613,52,688,,
,,52,688,0.9042820930480957,0.45523521304130554
0.8830409646034241,0.482568621635437,53,701,,
,,53,701,0.9042820930480957,0.4523393511772156
0.8830409646034241,0.4802313446998596,54,714,,
,,54,714,0.9042820930480957,0.4494863748550415
0.8830409646034241,0.4777517020702362,55,727,,
,,55,727,0.9093198776245117,0.446461021900177
0.8830409646034241,0.47531062364578247,56,740,,
,,56,740,0.9093198776245117,0.44362011551856995
0.8830409646034241,0.47303450107574463,57,753,,
,,57,753,0.9093198776245117,0.44083893299102783
0.8830409646034241,0.4705481231212616,58,766,,
,,58,766,0.9093198776245117,0.4381450116634369
0.8830409646034241,0.468205988407135,59,779,,
,,59,779,0.9093198776245117,0.43544983863830566
0.8830409646034241,0.46594876050949097,60,792,,
,,60,792,0.9068009853363037,0.43270421028137207
0.8830409646034241,0.46373310685157776,61,805,,
,,61,805,0.9093198776245117,0.43003973364830017
0.8830409646034241,0.4615430235862732,62,818,,
,,62,818,0.9093198776245117,0.4274733364582062
0.8830409646034241,0.4593691825866699,63,831,,
,,63,831,0.9093198776245117,0.4248366355895996
0.8771929740905762,0.45724377036094666,64,844,,
,,64,844,0.9093198776245117,0.42238447070121765
0.8830409646034241,0.45504552125930786,65,857,,
