val_acc,val_loss,epoch,step,test_acc,test_loss,train_acc,train_loss
0.011695906519889832,4.102419853210449,0,0,,,,
,,0,0,0.011695906519889832,4.031111240386963,,
0.16959063708782196,3.6153759956359863,0,3,,,,
,,0,3,,,0.07570768892765045,3.8856635093688965
0.21052631735801697,3.268420696258545,1,7,,,,
,,1,7,,,0.18981163203716278,3.4131927490234375
0.23391814529895782,2.985492467880249,2,11,,,,
,,2,11,,,0.21678364276885986,3.092895984649658
0.28070175647735596,2.762021541595459,3,15,,,,
,,3,15,,,0.2748372256755829,2.8357129096984863
0.3391812741756439,2.613389253616333,4,19,,,,
,,4,19,,,0.3489506244659424,2.658606767654419
0.34502923488616943,2.512346029281616,5,23,,,,
,,5,23,,,0.34619155526161194,2.519184112548828
0.3742690086364746,2.4237496852874756,6,27,,,,
,,6,27,,,0.3609388470649719,2.392134189605713
0.35672515630722046,2.372807025909424,7,31,,,,
,,7,31,,,0.3815060257911682,2.2729766368865967
0.3684210479259491,2.3152246475219727,8,35,,,,
,,8,35,,,0.38417357206344604,2.2154483795166016
0.39181286096572876,2.2542898654937744,9,39,,,,
,,9,39,,,0.393145352602005,2.1226818561553955
0.4152046740055084,2.2108612060546875,10,43,,,,
,,10,43,,,0.40799370408058167,2.0505924224853516
0.45614033937454224,2.1659138202667236,11,47,,,,
,,11,47,,,0.42692795395851135,1.9911426305770874
0.45614033937454224,2.1342554092407227,12,51,,,,
,,12,51,,,0.444927841424942,1.9247316122055054
0.45614033937454224,2.1014175415039062,13,55,,,,
,,13,55,,,0.45641669631004333,1.9102102518081665
0.49707603454589844,2.0578811168670654,14,59,,,,
,,14,59,,,0.47824034094810486,1.8258628845214844
0.5029239654541016,2.0363948345184326,15,63,,,,
,,15,63,,,0.5068823099136353,1.742361307144165
0.5087719559669495,2.0156664848327637,16,67,,,,
,,16,67,,,0.5062649250030518,1.756072998046875
0.5146198868751526,2.0056936740875244,17,71,,,,
