val_acc,val_loss,epoch,step,train_acc,train_loss
0.5906432867050171,0.6955146193504333,0,0,,
0.6608186960220337,0.6873725056648254,0,12,,
,,0,12,0.5743073225021362,0.6978585124015808
0.6783625483512878,0.6802046895027161,1,25,,
,,1,25,0.6322417855262756,0.6906260848045349
0.7017543911933899,0.6751956343650818,2,38,,
,,2,38,0.6397984623908997,0.6842173337936401
0.6842105388641357,0.6680554151535034,3,51,,
,,3,51,0.6523929238319397,0.6782687902450562
0.6959064602851868,0.6619155406951904,4,64,,
,,4,64,0.6498740315437317,0.6721405386924744
0.719298243522644,0.6571473479270935,5,77,,
,,5,77,0.6624684929847717,0.66600102186203
0.7251461744308472,0.6518513560295105,6,90,,
,,6,90,0.6826196312904358,0.6598871350288391
0.7251461744308472,0.6463719606399536,7,103,,
,,7,103,0.7027707695960999,0.6539826989173889
0.7426900863647461,0.6411225199699402,8,116,,
,,8,116,0.7178841233253479,0.6480965614318848
0.7485380172729492,0.6359310746192932,9,129,,
,,9,129,0.7204030156135559,0.6423812508583069
0.7602339386940002,0.6308990120887756,10,142,,
,,10,142,0.7279596924781799,0.6366764307022095
0.7602339386940002,0.6254344582557678,11,155,,
,,11,155,0.745591938495636,0.6312130093574524
0.7719298005104065,0.6206364035606384,12,168,,
,,12,168,0.7657430768013,0.6256091594696045
0.7953216433525085,0.6160057187080383,13,181,,
,,13,181,0.7732997536659241,0.620201051235199
0.7953216433525085,0.610869288444519,14,194,,
,,14,194,0.7884131073951721,0.6149873733520508
0.8128654956817627,0.6063524484634399,15,207,,
,,15,207,0.7909319996833801,0.6096956133842468
0.8187134265899658,0.6015453934669495,16,220,,
,,16,220,0.8010075688362122,0.6045015454292297
0.8362573385238647,0.5977751612663269,17,233,,
,,17,233,0.8060453534126282,0.599522590637207
0.8421052694320679,0.593749463558197,18,246,,
,,18,246,0.8211587071418762,0.5944215655326843
0.8421052694320679,0.589381754398346,19,259,,
,,19,259,0.8312342762947083,0.5895217657089233
0.859649121761322,0.5854018330574036,20,272,,
,,20,272,0.8337531685829163,0.5848430395126343
0.859649121761322,0.5803775191307068,21,285,,
,,21,285,0.8387909531593323,0.5799590945243835
0.8654970526695251,0.5754307508468628,22,298,,
,,22,298,0.8287153840065002,0.5752584338188171
0.8654970526695251,0.5713914036750793,23,311,,
,,23,311,0.8312342762947083,0.5706925988197327
0.8888888955116272,0.5679337978363037,24,324,,
,,24,324,0.8438287377357483,0.566419780254364
0.8947368264198303,0.5636805295944214,25,337,,
,,25,337,0.8488665223121643,0.5616469383239746
0.8947368264198303,0.5594859719276428,26,350,,
,,26,350,0.8488665223121643,0.5572769045829773
0.9122806787490845,0.5560811161994934,27,363,,
,,27,363,0.8488665223121643,0.5529319047927856
0.9122806787490845,0.551960289478302,28,376,,
,,28,376,0.8564231991767883,0.5487008094787598
0.9005848169326782,0.5487939715385437,29,389,,
,,29,389,0.8664987683296204,0.5445264577865601
0.9122806787490845,0.5444610118865967,30,402,,
,,30,402,0.8614609837532043,0.5403484106063843
0.9122806787490845,0.5403231382369995,31,415,,
,,31,415,0.8614609837532043,0.5364087224006653
0.9005848169326782,0.5373170375823975,32,428,,
,,32,428,0.8639798760414124,0.5323351621627808
0.9122806787490845,0.5352946519851685,33,441,,
,,33,441,0.8816120624542236,0.5286440253257751
0.9122806787490845,0.5316652059555054,34,454,,
,,34,454,0.8866498470306396,0.5247498154640198
0.9122806787490845,0.5282554626464844,35,467,,
,,35,467,0.8866498470306396,0.5209134221076965
0.9122806787490845,0.5239390730857849,36,480,,
,,36,480,0.8816120624542236,0.5174316763877869
0.9122806787490845,0.5208788514137268,37,493,,
,,37,493,0.8841309547424316,0.5135828256607056
