val_acc,val_loss,epoch,step,train_acc,train_loss
0.7017543911933899,0.7489016056060791,0,0,,
0.6491228342056274,0.7293341755867004,0,12,,
,,0,12,0.6775818467140198,0.7290740013122559
0.6432748436927795,0.7128892540931702,1,25,,
,,1,25,0.6221662759780884,0.7141192555427551
0.6432748436927795,0.6996985077857971,2,38,,
,,2,38,0.5994962453842163,0.7001671195030212
0.4152046740055084,0.6891870498657227,3,51,,
,,3,51,0.47858941555023193,0.6885718107223511
0.6608186960220337,0.6789715886116028,4,64,,
,,4,64,0.5491183996200562,0.6798371076583862
0.8362573385238647,0.6703916192054749,5,77,,
,,5,77,0.8035264611244202,0.6716626882553101
0.8304093480110168,0.6630108952522278,6,90,,
,,6,90,0.8539043068885803,0.6636319756507874
0.8070175647735596,0.6559769511222839,7,103,,
,,7,103,0.8110831379890442,0.6567485332489014
0.8070175647735596,0.6494073867797852,8,116,,
,,8,116,0.7858942151069641,0.6502323746681213
0.8070175647735596,0.6434047818183899,9,129,,
,,9,129,0.7707808613777161,0.6441202163696289
0.8070175647735596,0.6375726461410522,10,142,,
,,10,142,0.7808564305305481,0.6382610201835632
0.7894737124443054,0.6319058537483215,11,155,,
,,11,155,0.7732997536659241,0.6322875022888184
0.8011695742607117,0.6263416409492493,12,168,,
,,12,168,0.7808564305305481,0.6266399621963501
0.8128654956817627,0.6209630966186523,13,181,,
,,13,181,0.7833753228187561,0.6210381388664246
0.8187134265899658,0.6156772971153259,14,194,,
,,14,194,0.7934508919715881,0.6156217455863953
0.8245614171028137,0.6105826497077942,15,207,,
,,15,207,0.8010075688362122,0.6103011965751648
0.8245614171028137,0.6054196357727051,16,220,,
,,16,220,0.8035264611244202,0.6051125526428223
0.8304093480110168,0.6005251407623291,17,233,,
,,17,233,0.8060453534126282,0.5999500155448914
0.8245614171028137,0.5954451560974121,18,246,,
,,18,246,0.8035264611244202,0.5952126979827881
0.8304093480110168,0.5908488035202026,19,259,,
,,19,259,0.8085642457008362,0.5900266170501709
0.8421052694320679,0.5864214897155762,20,272,,
,,20,272,0.8337531685829163,0.5853044390678406
0.8362573385238647,0.5815644860267639,21,285,,
