val_acc,val_loss,epoch,step,train_acc,train_loss,test_acc,test_loss
0.4824562072753906,0.8374977111816406,0,39,,,,
,,0,39,0.4743604362010956,0.8927433490753174,,
0.48525336384773254,0.7866255044937134,1,79,,,,
,,1,79,0.4780818223953247,0.8097283244132996,,
0.4779796302318573,0.8421645164489746,2,119,,,,
,,2,119,0.4965590238571167,0.7615418434143066,,
0.48314806818962097,0.744743287563324,3,159,,,,
,,3,159,0.48408111929893494,0.7767216563224792,,
0.4761156737804413,0.7335362434387207,4,199,,,,
,,4,199,0.5013536810874939,0.7349586486816406,,
0.5163756012916565,0.7244006395339966,5,239,,,,
,,5,239,0.5041512250900269,0.7395618557929993,,
0.5066547393798828,0.7141295075416565,6,279,,,,
,,6,279,0.5195291638374329,0.7135894298553467,,
0.5195958018302917,0.7015165686607361,7,319,,,,
,,7,319,0.5136584043502808,0.7214440107345581,,
0.5245213508605957,0.693156361579895,8,359,,,,
,,8,359,0.5175009965896606,0.7077159881591797,,
0.5031704902648926,0.7104213833808899,9,399,,,,
,,9,399,0.5076859593391418,0.7174674272537231,,
0.5128064155578613,0.7086181044578552,10,439,,,,
,,10,439,0.5127936601638794,0.7116069197654724,,
0.501645565032959,0.7279530167579651,11,479,,,,
,,11,479,0.518760085105896,0.702572226524353,,
0.5146411061286926,0.7136579751968384,12,519,,,,
,,12,519,0.5026740431785583,0.7561160922050476,,
0.5172213912010193,0.6924797296524048,13,559,,,,
,,13,559,0.5158002376556396,0.7010773420333862,,
0.5168852210044861,0.682204008102417,14,599,,,,
,,14,599,0.5287038087844849,0.6959725022315979,,
0.5272573232650757,0.6774664521217346,15,639,,,,
,,15,639,0.5302895307540894,0.6856784224510193,,
0.5053136348724365,0.723287045955658,16,679,,,,
,,16,679,0.510080099105835,0.7110853791236877,,
0.5243169069290161,0.6744686961174011,17,719,,,,
,,17,719,0.5252129435539246,0.6948772668838501,,
0.492613285779953,0.7457708120346069,18,759,,,,
,,18,759,0.5216607451438904,0.714634120464325,,
0.5320178866386414,0.688060462474823,19,799,,,,
,,19,799,0.5191701650619507,0.7045126557350159,,
0.4836815595626831,0.7493095397949219,20,839,,,,
,,20,839,0.5159793496131897,0.6965225338935852,,
0.5255118012428284,0.6792293787002563,21,879,,,,
,,21,879,0.5168747901916504,0.6965520977973938,,
0.5122129917144775,0.6771233081817627,22,919,,,,
,,22,919,0.5289382338523865,0.6771457195281982,,
0.4861307442188263,1.0210700035095215,23,959,,,,
,,23,959,0.5151306986808777,0.7126163244247437,,
0.5119438767433167,0.7109600901603699,24,999,,,,
,,24,999,0.4986250698566437,0.7803025841712952,,
0.522716760635376,0.6813741326332092,25,1039,,,,
,,25,1039,0.5308061242103577,0.6943386793136597,,
0.5236308574676514,0.673126757144928,26,1079,,,,
,,26,1079,0.5265650153160095,0.6818910241127014,,
0.5218393206596375,0.6733232736587524,27,1119,,,,
,,27,1119,0.5262584090232849,0.6818089485168457,,
0.508034348487854,0.6794562339782715,28,1159,,,,
,,28,1159,0.5243332982063293,0.6888095140457153,,
0.5106584429740906,0.687142550945282,29,1199,,,,
,,29,1199,0.5270714163780212,0.6760482788085938,,
0.5143225193023682,0.6780147552490234,30,1239,,,,
,,30,1239,0.5272265076637268,0.6825324892997742,,
0.5237749814987183,0.665648341178894,31,1279,,,,
,,31,1279,0.5389667749404907,0.669110119342804,,
0.5238723754882812,0.6750784516334534,32,1319,,,,
,,32,1319,0.5299537777900696,0.6706053018569946,,
0.5196614861488342,0.6751531362533569,33,1359,,,,
,,33,1359,0.5326927304267883,0.6918351650238037,,
0.49029505252838135,0.7375985980033875,34,1399,,,,
,,34,1399,0.5286827087402344,0.681009829044342,,
0.5044364333152771,0.6917518377304077,35,1439,,,,
,,35,1439,0.5199045538902283,0.7052449584007263,,
0.5175811648368835,0.670235812664032,36,1479,,,,
,,36,1479,0.5304674506187439,0.6851533651351929,,
0.5267465710639954,0.6660374402999878,37,1519,,,,
,,37,1519,0.5366805791854858,0.668857216835022,,
